from_course_code,from_institution,to_course_code,to_institution,equivalency_type,notes,approved_by
ECON 202,Delgado Community College,ECON 1203,University Of New Orleans,direct,,
POLI 180,Delgado Community College,POLI 2151,University Of New Orleans,direct,,
PSYC 112,Delgado Community College,PSYC 1000NE,University Of New Orleans,,,
PSYC 127,Delgado Community College,PSYC 1000,University Of New Orleans,direct,,
PSYC 217,Delgado Community College,PSYC 2000NE,University Of New Orleans,,,
PSYC 225,Delgado Community College,PSYC 2110,University Of New Orleans,direct,,
PSYC 226,Delgado Community College,PSYC 2100,University Of New Orleans,direct,,
PSYC 235,Delgado Community College,PSYC 2200,University Of New Orleans,direct,,
PSYC 240,Delgado Community College,PSYC 2000NE,University Of New Orleans,,,
PSYC 245,Delgado Community College,PSYC 2400,University Of New Orleans,direct,,
SOCI 151,Delgado Community College,SOC 1051,University Of New Orleans,direct,,
SOCI 155,Delgado Community College,SOC 2962,University Of New Orleans,direct,,
SOCI 250,Delgado Community College,SOC 1051,University Of New Orleans,direct,,
SOCI 255,Delgado Community College,SOC 1051,University Of New Orleans,direct,,
SOCI 257,Delgado Community College,SOC 2000NE,University Of New Orleans,,,
BIOL 141,Delgado Community College,BIOS 1083,University Of New Orleans,direct,,
CHEM 142,Delgado Community College,CHEM 1018,University Of New Orleans,direct,,
BIOL 143,Delgado Community College,BIOS 1081,University Of New Orleans,direct,,
CHEM 144,Delgado Community College,CHEM 1008,University Of New Orleans,direct,,
BIOL 142,Delgado Community College,BIOS 1073,University Of New Orleans,direct,,
CHEM 221,Delgado Community College,CHEM 2217,University Of New Orleans,direct,,
BIOL 144,Delgado Community College,BIOS 1071,University Of New Orleans,direct,,
CHEM 223,Delgado Community College,CHEM 2017,University Of New Orleans,direct,,
CHEM 141,Delgado Community College,CHEM 1017,University Of New Orleans,direct,,
CHEM 222,Delgado Community College,CHEM 2000NE,University Of New Orleans,,,
CHEM 143,Delgado Community College,CHEM 1007,University Of New Orleans,direct,,
CHEM 224,Delgado Community College,CHEM 2000NE,University Of New Orleans,,,
PHYS 141,Delgado Community College,PHYS 1031,University Of New Orleans,direct,,
PHYS 221,Delgado Community College,PHYS 1061,University Of New Orleans,direct,,
PHYS 142,Delgado Community College,PHYS 1032,University Of New Orleans,direct,,
BIOL 211,Delgado Community College,BIOS 2743,University Of New Orleans,direct,,
BIOL 210,Delgado Community College,BIOS 2743,University Of New Orleans,direct,,
BIOL 212,Delgado Community College,BIOS 2741,University Of New Orleans,direct,,
BIOL 265,Delgado Community College,BIOS 2114,University Of New Orleans,direct,,
BIOL 266,Delgado Community College,BIOS 2114,University Of New Orleans,direct,,
BIOL 251,Delgado Community College,BIOS 1303,University Of New Orleans,direct,,
BIOL 252,Delgado Community College,BIOS 1313,University Of New Orleans,direct,,
BIOL 114,Delgado Community College,BIOS 2313,University Of New Orleans,direct,,
