code,title,description,credits,institution,department,prerequisites,has_lab,course_type
ACCT 6143,Sem Accounting Info System,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6151,Federal Tax Practice,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6153,Tax Corp & Shareholders,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6156,Adv Tax of Partners,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6159,International Taxation,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6163,Seminar in Auditing,,3,University Of New Orleans,College of Business Administration,,false,seminar
ACCT 6167,Internal Auditing Concepts,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6168,Internal/Operational Auditing,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6169,Fraud Examination,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6173,State & Local Taxation,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6185,Strategic Business Planning,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6190,Contemporary Tax Acct Topics,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6191,Sem Contemporary Acct Topics,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6192,Special Topic Accounting,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 6194,Internship in Accounting,,3,University Of New Orleans,College of Business Administration,,false,research
ACCT 6195,Directed Study,,3,University Of New Orleans,College of Business Administration,,false,lecture
ACCT 7040,Examination or Report Only,,3,University Of New Orleans,College of Business Administration,,false,lecture
AERO 1001,Foundations USAF I,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 1002,Foundations USAF II,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 1041,Foundations USAF I Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 1042,Foundations USAF II Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 1201,Evolut. of USAF Air and Space,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 1202,Dev. of Air Power II,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 1241,Development of Air Power I Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 1242,Development Air Power II Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 3001,Leadership Studies I,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 3002,Leadership Studies II,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 3041,Leadership Studies I Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 3042,Leadership Studies II Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 3401,National Security Affairs I,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 3402,Nat Security Affairs II,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 3441,Nat Security Affairs I Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
AERO 3442,Nat Security Affairs II Lab,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 1010,Peoples of the World,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 1020,Fads Fallacies & Human Origins,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 1030,America as a Foreign Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 2051,Human Origins,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 2052,Cultural Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 2232,World Archeology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 2992,Independent Work,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 2993,Independent Work,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3090,Special Topics Cultural Anth,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3095,New Orleans Public Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3201,Field Methods Archeology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3215,North American Archeology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3220,Archaeology of New Orleans,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3240,Archaeology of the African Diaspora,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3295,Lab Techniques Field Arch,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3301,Doing Ethnography,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3315,Caribbean Peoples & Cultures,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3320,"Amazonia:People,Culture,Nature",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3330,Latin America,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3340,People & Culture Europe,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3351,People & Culture Africa,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3370,People & Culture Pacific,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3401,Folklore,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3402,Storytelling and Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3750,Food and Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 3896,Senior Honors Thesis,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 4070,Qualitative Research,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 4075,"Life History, Identity & Autonomy",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4090,Advanced Topics in Cultural Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4330,Gender & Power in Latin America,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4440,Religion Magic and Witchcraft,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4666,"Shamanism, Curing and Healing",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4721,Cultural Resources Management: Theory & Practice,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4765,Ethnicity in Contemporary Society,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4766,Sex and Gender,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4768,Anthropology and Policy,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4772,Applied Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4775,Urban Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4780,Film and Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4790,Internship in Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 4801,History of Anthropological Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4825,Contemporary Archaeological Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4888,Anthropology of the Body,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 4990,Independent Study,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 4991,Advanced Field Research in Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 4995,Anthropology of Contemporary Issues,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5070,Qualitative Research,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 5075,"Life History, Identity & Autonomy",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5090,Advanced Topics in Cultural Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5330,Gender & Power in Latin America,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
