code,title,description,credits,institution,department,prerequisites
ANTH 1020,Fads Fallacies & Human Origins,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 1030,America as a Foreign Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 2051,Human Origins,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 2052,Cultural Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 2232,World Archeology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 2992,Independent Work,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 2993,Independent Work,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3090,Special Topics Cultural Anth,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3095,New Orleans Public Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3201,Field Methods Archeology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3215,North American Archeology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3220,Archaeology of New Orleans,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3240,Archaeology of the African Diaspora,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3295,Lab Techniques Field Arch,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3301,Doing Ethnography,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3315,Caribbean Peoples & Cultures,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3320,"Amazonia:People,Culture,Nature",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3330,Latin America,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3340,People & Culture Europe,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3351,People & Culture Africa,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3370,People & Culture Pacific,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3401,Folklore,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3402,Storytelling and Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3750,Food and Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 3896,Senior Honors Thesis,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4070,Qualitative Research,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4075,"Life History, Identity & Autonomy",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4090,Advanced Topics in Cultural Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4330,Gender & Power in Latin America,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4440,Religion Magic and Witchcraft,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4666,"Shamanism, Curing and Healing",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4721,Cultural Resources Management: Theory & Practice,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4765,Ethnicity in Contemporary Society,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4766,Sex and Gender,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4768,Anthropology and Policy,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4772,Applied Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4775,Urban Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4780,Film and Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4790,Internship in Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4801,History of Anthropological Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4825,Contemporary Archaeological Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4888,Anthropology of the Body,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4990,Independent Study,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4991,Advanced Field Research in Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 4995,Anthropology of Contemporary Issues,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5070,Qualitative Research,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5075,"Life History, Identity & Autonomy",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5090,Advanced Topics in Cultural Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5330,Gender & Power in Latin America,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5440,Religion Magic and Witchcraft,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5666,"Shamanism, Curing and Healing",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5721,Cultural Resources Management: Theory & Practice,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5723,Historic Site Archaeology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5765,Ethnicity in Contemp Society,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5766,Sex and Gender,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5767,Race & Racism,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5768,Anthropology and Policy,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5772,Applied Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5775,Urban Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5777,Transnational Processes,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5780,Film and Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5790,Internship in Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5801,Hist of Anthropological Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5825,Contemp Archaeological Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5888,Anthropology of the Body,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5990,Independent Study,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5991,Advanced Field Research in Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 5995,Anthro of Contemporary Issues,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 6052,Adv Cultural Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 6091,Adv Res Problems in Urbn Anth,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 6201,Analysis Tech Writing CRM,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 6301,Material Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ANTH 6801,Cultr & Soc Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",
ARTS 1000,Intro to the Arts,,3,University Of New Orleans,School of Arts,
AandS 1119,Structures of Western Thought,,3,University Of New Orleans,University of NO,
AandS 1120,Northnestern Thought,,3,University Of New Orleans,University of NO,
AandS 1160,Scientific Writing,,3,University Of New Orleans,University of NO,
AandS 1161,Business Writing,,3,University Of New Orleans,University of NO,
AandS 2900,Euro Civil Field based Learning,,3,University Of New Orleans,University of NO,
AandS 2999,Forms of Inquiry,,3,University Of New Orleans,University of NO,
AandS 3099,Honors Colloquium,,3,University Of New Orleans,University of NO,
AandS 3999,Senior Honors Thesis,,3,University Of New Orleans,University of NO,
AandS 4000,Honors Thesis Workshop,,3,University Of New Orleans,University of NO,
AADM 3300,Basic Overview of Theatre for,,3,University Of New Orleans,School of the Arts,
AADM 3301,Basic Overview of Visual Arts,,3,University Of New Orleans,School of the Arts,
AADM 3302,Basic Overview of Music for Ar,,3,University Of New Orleans,School of the Arts,
AADM 4300,Basic Concepts of Development,,3,University Of New Orleans,School of the Arts,
AADM 4302,Basics of Arts Marketing,,3,University Of New Orleans,School of the Arts,
AADM 4303,Technology for Arts Administra,,3,University Of New Orleans,School of the Arts,
AADM 4304,Economic Context of the Arts,,3,University Of New Orleans,School of the Arts,
AADM 4305,Arts and the Law,,3,University Of New Orleans,School of the Arts,
AADM 4310,Cultural and Arts Institutions,,3,University Of New Orleans,School of the Arts,
AADM 6090,Arts Adm Ind Study,,3,University Of New Orleans,School of the Arts,
AADM 6200,Arts Organizations & Business,,3,University Of New Orleans,School of the Arts,
AADM 6223,Nonprofit Finance,,3,University Of New Orleans,School of the Arts,
AADM 6246,Arts Tech Overview,,3,University Of New Orleans,School of the Arts,
AADM 6501,Development for Arts Orgs,,3,University Of New Orleans,School of the Arts,
AADM 6502,Arts Admn Legal & Bus Appl,,3,University Of New Orleans,School of the Arts,
AADM 6503,Marketing the Arts,,3,University Of New Orleans,School of the Arts,
AADM 6506,Musical Overview Arts Administ,,3,University Of New Orleans,School of the Arts,
AADM 6507,Research in the Arts,,3,University Of New Orleans,School of the Arts,
AADM 6508,Arts Leadership,,3,University Of New Orleans,School of the Arts,
AADM 6509,Arts Educ for Admin,,3,University Of New Orleans,School of the Arts,
AADM 6601,Writing & Pres for Art Adm,,3,University Of New Orleans,School of the Arts,
AADM 6605,Seminar in Arts Administration,,3,University Of New Orleans,School of the Arts,
AADM 6607,Public Arts Policy,,3,University Of New Orleans,School of the Arts,
AADM 6609,Arts and Community,,3,University Of New Orleans,School of the Arts,
AADM 6610,Public Relations in the Arts,,3,University Of New Orleans,School of the Arts,
AADM 6611,Branding in the Arts,,3,University Of New Orleans,School of the Arts,
AADM 6620,Fundraising Event Planning,,3,University Of New Orleans,School of the Arts,
AADM 6621,Grant Writing,,3,University Of New Orleans,School of the Arts,
AADM 6690,AADM Special Topics,,3,University Of New Orleans,School of the Arts,
AADM 6900,Practicum in Arts Admin,,3,University Of New Orleans,School of the Arts,
AADM 6990,Internship Arts Administration,,3,University Of New Orleans,School of the Arts,
AADM 7000,Thesis Research,,3,University Of New Orleans,School of the Arts,
AADM 7040,Examination or Report Only,,3,University Of New Orleans,School of the Arts,
AVIA 1010,Introduction to Aviation,,3,University Of New Orleans,College of Engineering,
AVIA 1020,Aviation Weather,,3,University Of New Orleans,College of Engineering,
AVIA 1110,Private Pilot Ground,,3,University Of New Orleans,College of Engineering,
AVIA 1120,Private Pilot Flight,,3,University Of New Orleans,College of Engineering,
AVIA 2110,Instrument Pilot Ground,,3,University Of New Orleans,College of Engineering,
AVIA 2120,Instrument Pilot Flight,,3,University Of New Orleans,College of Engineering,
BIOS 1001,Freshman Bio Seminar,,3,University Of New Orleans,College of Sciences,
BIOS 1002,Biology Freshman Learning Comm,,3,University Of New Orleans,College of Sciences,
BIOS 1053,Human Biol Nnci,,3,University Of New Orleans,College of Sciences,
BIOS 1063,Biodiversity Nnci,,3,University Of New Orleans,College of Sciences,
BIOS 1071,Biology II Laboratory,,3,University Of New Orleans,College of Sciences,
BIOS 1073,Biology II,,3,University Of New Orleans,College of Sciences,
BIOS 1081,Biology I Laboratory,,3,University Of New Orleans,College of Sciences,
BIOS 1083,Biology I,,3,University Of New Orleans,College of Sciences,
BIOS 1301,Human Anatomy & Phys Lab,,3,University Of New Orleans,College of Sciences,
BIOS 1303,Human Anatomy & Phys,,3,University Of New Orleans,College of Sciences,
BIOS 1311,Human Anatomy & Phys Lab,,3,University Of New Orleans,College of Sciences,
BIOS 1313,Human Anatomy & Phys II,,3,University Of New Orleans,College of Sciences,
BIOS 2002,Internship in Biology,,3,University Of New Orleans,College of Sciences,
BIOS 2014,Population Genetics Evol Ecol,,3,University Of New Orleans,College of Sciences,
BIOS 2082,UGRAD Teaching Apprenticeship,,3,University Of New Orleans,College of Sciences,
BIOS 2090,Soph Special Topics Bio,,3,University Of New Orleans,College of Sciences,
BIOS 2092,Sophomore Research,,3,University Of New Orleans,College of Sciences,
BIOS 2114,Cell & Molecular Biology,,3,University Of New Orleans,College of Sciences,
BIOS 2313,Nutrition,,3,University Of New Orleans,College of Sciences,
BIOS 2553,Evolution,,3,University Of New Orleans,College of Sciences,
BIOS 2663,Environmental Biology,,3,University Of New Orleans,College of Sciences,
BIOS 2741,Micro & Human Dis Lab,,3,University Of New Orleans,College of Sciences,
BIOS 2743,Micro Human Disease Lec,,3,University Of New Orleans,College of Sciences,
BIOS 2904,Introduction Marine Zoology,,3,University Of New Orleans,College of Sciences,
BIOS 2914,Introduction Marine Science,,3,University Of New Orleans,College of Sciences,
BIOS 3091,Undergraduate Seminar,,3,University Of New Orleans,College of Sciences,
BIOS 3092,Independent Research,,3,University Of New Orleans,College of Sciences,
BIOS 3113,Immunology,,3,University Of New Orleans,College of Sciences,
BIOS 3284,Histology & Cytology,,3,University Of New Orleans,College of Sciences,
BIOS 3354,Vertebrate Physiology,,3,University Of New Orleans,College of Sciences,
BIOS 3373,Neurobiology,,3,University Of New Orleans,College of Sciences,
BIOS 3453,Genetics,,3,University Of New Orleans,College of Sciences,
BIOS 3490,Spec Topics Phys & Cell Bio,,3,University Of New Orleans,College of Sciences,
BIOS 3590,Spec Topics Organismic Biology,,3,University Of New Orleans,College of Sciences,
BIOS 3651,General Ecology Laboratory,,3,University Of New Orleans,College of Sciences,
BIOS 3653,General Ecology,,3,University Of New Orleans,College of Sciences,
BIOS 3854,General Botany,,3,University Of New Orleans,College of Sciences,
BIOS 3924,Marine Biology,,3,University Of New Orleans,College of Sciences,
BIOS 3953,General Parasitology,,3,University Of New Orleans,College of Sciences,
BIOS 4010,Senior Comprehensive Exam,,0,University Of New Orleans,College of Sciences,
BIOS 4091,Senior Honors Thesis,,3,University Of New Orleans,College of Sciences,
BIOS 4103,Biochemistry I,,3,University Of New Orleans,College of Sciences,
BIOS 4113,Biochemistry II,,3,University Of New Orleans,College of Sciences,
BIOS 4114,Biochemistry and Molecular Biology Laboratory,,3,University Of New Orleans,College of Sciences,
BIOS 4153,Molecular Biology,,3,University Of New Orleans,College of Sciences,
BIOS 4173,Molecular Biotechnology,,3,University Of New Orleans,College of Sciences,
BIOS 4213,Cell Biology,,3,University Of New Orleans,College of Sciences,
BIOS 4314,Comparative Vertebrate Anatomy,,3,University Of New Orleans,College of Sciences,
BIOS 4353,Comparative Animal Physiology,,3,University Of New Orleans,College of Sciences,
BIOS 4413,Developmental Biology,,3,University Of New Orleans,College of Sciences,
BIOS 4453,Human Genomics,,3,University Of New Orleans,College of Sciences,
