code,title,description,credits,institution,department,prerequisites
CSCI 5460,Network Op & Defense,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5501,Programming Language Structure,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5525,Intro to Artificial Intelligen,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5535,Natural Language Processing,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5567,Bioinformatics I,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5568,Bioinformatics II,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5587,Machine Learning I,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5588,Machine Learning II,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5595,Topics in Bioinformatics,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5621,Intro Cyber Security,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5622,Reverse Engineering,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5623,Digital Forensics,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5631,Principles Computer Graphics,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5632,Principles of Image Processing,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5661,Mobile Apps Dev,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5670,Game Development,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5675,Adv Game Development,,3,University Of New Orleans,PLACEHOLDER,
CSCI 5990,Special Topics CSCI,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6090,Advanced Problems in Comp Sci,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6101,Theory of Algrthm & Complexity,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6110,Appl Combinatorics & Grph Thry,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6120,Theory of Computation,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6140,Formal Languages,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6220,Software Testing & QA,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6250,Big Data Analytics and Systems,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6350,Dev of Distributed Software,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6363,Agile Software Engineering,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6401,Concurrent Programming,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6450,Principles Distributed Systems,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6452,Cloud Computing,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6454,Parallel & Sci Computing,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6521,Advanced Machine Learning I,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6522,Advanced Machine Learning II,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6587,Adv Mach Lrng Bioinformatics I,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6588,Adv Mach Lrng Bioin II,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6595,Adv. Topics in Bioinformatics,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6603,Prog Lang Security,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6621,Network Security,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6625,Network Penetration,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6627,Industrial Control Systems Security,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6633,Computer Vision,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6634,Data Visualization,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6635,Pattern Recognition,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6640,Computational Geometry,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6645,Planning Algorithms in AI,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6650,Intelligent Agents,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6663,Software security,,3,University Of New Orleans,PLACEHOLDER,
CSCI 6990,Topics in Adv Comp Sci,,3,University Of New Orleans,PLACEHOLDER,
CSCI 7000,Thesis Research,,3,University Of New Orleans,PLACEHOLDER,
CSCI 7040,Examination or Report Only,,3,University Of New Orleans,PLACEHOLDER,
CSCI 7050,Dissertation Research,,3,University Of New Orleans,PLACEHOLDER,
COEN 1,Coop Educ for Engr Majors,,3,University Of New Orleans,PLACEHOLDER,
COBA 1,Coop Educ for Bus Adm Majors,,3,University Of New Orleans,PLACEHOLDER,
COLA 1,Coop Educ for Lib Arts Majors,,3,University Of New Orleans,PLACEHOLDER,
COSC 1,Coop Educ for Science Majors,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6090,Independent Resrch Educ Found,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6330,Career Counsln & Life Planning,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6400,Theories of Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6420,Life Span Human Gro,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6430,Counseling Techniques,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6435,Substance Abuse Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6439,Advanced Counseling Theory,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6440,Advanced Counseling Techniques,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6445,Telemental Health Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6450,Group Work,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6452,Intro Multiculturl Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6460,Supervsd Experience Group Work,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6469,Introduction to Sexuality Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6530,Student Services High Educ,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6535,Diagnosis/Treatment Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6540,Clincal Mental Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6550,School Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6630,Analysis of the Individual,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6660,Crisis Intervention Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6810,Supervision in Counselor Education,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6830,Couns Children & Adolescents,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6840,Family Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6850,Ethical & Professional Issues,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6852,Adv Multicultural Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6860,Introduction to Play Therapy,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6870,Advanced Play Therapy,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6880,Adv Counseling Intervention,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6896,Mast Practicum Coun,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6897,Master�s Internship in Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6898,Doc Practicum Coun,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6899,Doc Internship Coun,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6950,"Advanced Ethical, Legal, & Professional Issues in Counselor Education",,3,University Of New Orleans,PLACEHOLDER,
EDGC 6991,Doctoral Prac Coun Ed,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6993,Spec Topics in Couns Education,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6995,Ind Study Counselor Education,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6996,Adv Supervision in Counseling,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6997,Res Sem in Counselor Education,,3,University Of New Orleans,PLACEHOLDER,
EDGC 6998,Consultation in Counselor Education,,3,University Of New Orleans,PLACEHOLDER,
EDGC 7040,Examination or Report Only,,3,University Of New Orleans,PLACEHOLDER,
EDGC 7050,Dissertation Research,,3,University Of New Orleans,PLACEHOLDER,
EDCI 2204,Intro to Secondary Education,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3140,Matrl Meth Elem School Math,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3150,Matrl Meth Elem School Science,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3152,Sci Elem Teachers,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3160,Matrl Meth Elem Sch Soc Stdies,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3310,Dev Resp Curr Adolescents,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3311,Field Exp: Dev Resp,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3340,Methods Dev Alg/Geom Thinking,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3400,Foundations of Literacy,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3410,Instruc for Early Literacy Dev,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3425,Literacy Instruc for Cont Lrng,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3440,Pract in Corrective Reading,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3500,Obs & Asmt Early Childhood CR,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3510,Facilit Play PrK,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3520,Classroom Mgt PrK,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3530,Curricula Dev PrK,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3540,Develop Logioath PrK,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3980,Independent Study,,3,University Of New Orleans,PLACEHOLDER,
EDCI 3999,Honors Thesis,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4140,Teaching Elem Math,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4201,Field Exp: Subj Area,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4220,Matrl Meth in Sec Sch English,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4221,Mat & Meth Engl II,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4240,Secondary Math Methods,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4241,Sec Math Methods II,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4250,Materials & Meth Sec Sch Sci,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4251,Mat & Meth Sec Sc II,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4260,Meth of Sec Social Studies,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4261,Mat & Meth Soc St II,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4400,Foundations of Literacy Dev,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4421,Linguistic Applic Rgang Art,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4423,Rgang Arts in Mult Society,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4425,Matrl Meth Teach Eng Sec Lang,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4432,Disciplinary Literacy,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4540,Classroom Mgt PrK,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4545,Dev of Lgath Knowledge,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4595,Practicum Early Childhood Educ,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4620,Curr & Instr for Multicul Educ,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4660,Global Education,,3,University Of New Orleans,PLACEHOLDER,
EDCI 4993,Special Topics Curr & Instruc,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5140,Teaching Elem Math,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5204,"Teaching, Learning and Curriculum Development in the Secondary Classroom",,3,University Of New Orleans,PLACEHOLDER,
EDCI 5220,Matrl Meth in Sec Sch English,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5221,Methods Secondary Engl II,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5240,Secondary Math Methods,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5241,Math Secondary II,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5250,Materials & Meth Sec Sch Sci,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5251,Materials & Methods Science II,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5260,Meth of Sec Social Studies,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5261,Secondary Social Studies,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5423,Rgang Arts in Mult Society,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5425,Matrl Meth Teach Eng Sec Lang,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5432,Disciplinary Literacy,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5540,Developing a Studetentered Learning Community in the Classroom,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5545,Dev of Lgath Knowledge,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5595,Practicum Early Childhood Educ,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5620,Curr & Instr for Multicul Educ,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5660,Global Education,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5991,Special Topics Curr & Instruc,,3,University Of New Orleans,PLACEHOLDER,
EDCI 5993,Special Topics Curr & Instruc,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6020,Writing Institute,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6060,Action Research in Education,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6100,Children�s Lit,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6140,Elementary Math Methods,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6150,Curriculum Evaluation and Integrated Methodology for Elementary Science and Social Studies,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6204,Princ of Teaching & Learning,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6220,Studies Tch Eng Sec Schools,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6240,Studies Tch Math Sec Schools,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6250,Studies Tch Science Sec Schs,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6260,Studies Tch Soc St Sec Schools,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6300,C&I Young Adolescent,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6400,Foundations of Literacy Dev,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6410,Early Literacy Development,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6421,Linguistic Applic Rgang Art,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6423,Rgang Arts in Mult Society,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6425,Matrl Meth Teach Eng Sec Lang,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6430,Info Lit Content Lrn,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6434,Developmental Reading,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6436,Diagnostic and Remedial Readng,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6490,Sem in Readiganguage Arts,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6493,Practicum Diagnostic Remed Rdg,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6500,Foundation Child Dev,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6510,Adv Curr Design Erly Chldhood,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6530,Survy & Msrment K,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6540,Stdy Prog Early Childhood Educ,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6550,Effectve Parenting Child Behav,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6600,Foundations of Curric Develop,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6610,Elementary School Curriculum,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6620,Secondary School Curriculum,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6658,College Curriculum,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6675,Assessment in Higher Education,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6710,Nonfiction Across Curriculum,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6720,Teaching Information Literacy,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6755,Cont Applicat Instr Strategies,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6758,College Teaching,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6793,Grad Spec Topics Curr & Instr,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6800,Instruction & Assess,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6900,Intro Doctoral Readings C&I,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6902,Topical Doc Reading Curriculum,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6905,Research Critique Curr & Instr,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6910,Directed Group Doctoral Study,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6980,Independent Study Curr & Instr,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6990,Doctoral Seminar Curr & Instr,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6992,Doctoral Res Sem Curric Theory,,3,University Of New Orleans,PLACEHOLDER,
EDCI 6995,Practicum in Instruction,,3,University Of New Orleans,PLACEHOLDER,
EDCI 7000,Thesis Research,,3,University Of New Orleans,PLACEHOLDER,
EDCI 7040,Examination or Report Only,,3,University Of New Orleans,PLACEHOLDER,
EDCI 7050,Dissertation Research,,3,University Of New Orleans,PLACEHOLDER,
EES 1000,Dynamic Earth,,3,University Of New Orleans,PLACEHOLDER,
EES 1001,Dynamic Earth Lab,,3,University Of New Orleans,PLACEHOLDER,
EES 1002,Intro to Environ Sci,,3,University Of New Orleans,PLACEHOLDER,
EES 1003,Intro to Env Sciences Lab,,3,University Of New Orleans,PLACEHOLDER,
EES 1006,Dinosaurs,,3,University Of New Orleans,PLACEHOLDER,
EES 1008,Geology of New Orleans and LA,,3,University Of New Orleans,PLACEHOLDER,
EES 2004,Earth & Env Thru Time,,3,University Of New Orleans,PLACEHOLDER,
EES 2005,Earth and Env Time Lab,,3,University Of New Orleans,PLACEHOLDER,
EES 2051,Geomorphology,,3,University Of New Orleans,PLACEHOLDER,
EES 2096,Special Topics in Geology,,3,University Of New Orleans,PLACEHOLDER,
EES 2097,Independent Studies,,3,University Of New Orleans,PLACEHOLDER,
EES 2105,Environmental Toxicology,,3,University Of New Orleans,PLACEHOLDER,
EES 2510,Environmental Science & Policy,,3,University Of New Orleans,PLACEHOLDER,
EES 2700,Earth Materials,,3,University Of New Orleans,PLACEHOLDER,
EES 3010,Methods in Environmental Sciences,,3,University Of New Orleans,PLACEHOLDER,
EES 3091,Ind Studisarth and Env Sci,,3,University Of New Orleans,PLACEHOLDER,
EES 3096,Spec Topisarth and Env Sci,,3,University Of New Orleans,PLACEHOLDER,
EES 3100,Analysis of Earth Structure,,3,University Of New Orleans,PLACEHOLDER,
EES 3310,Ign Met Sed Petrology,,3,University Of New Orleans,PLACEHOLDER,
EES 3400,Intro Petroleum Geol,,3,University Of New Orleans,PLACEHOLDER,
EES 3700,Geological Time,,3,University Of New Orleans,PLACEHOLDER,
EES 3730,Introductory Geochemistry,,3,University Of New Orleans,PLACEHOLDER,
EES 3740,Principles of Paleontology,,3,University Of New Orleans,PLACEHOLDER,
EES 3991,Undergraduate Research,,3,University Of New Orleans,PLACEHOLDER,
EES 4000,Statistic Method Earth Env Sci,,3,University Of New Orleans,PLACEHOLDER,
EES 4090,Senior Thesis,,3,University Of New Orleans,PLACEHOLDER,
EES 4091,Independent Study,,3,University Of New Orleans,PLACEHOLDER,
EES 4096,Special Topics,,3,University Of New Orleans,PLACEHOLDER,
EES 4098,Senior Honors Thesis,,3,University Of New Orleans,PLACEHOLDER,
EES 4099,Senior Smarth and Env Sci,,3,University Of New Orleans,PLACEHOLDER,
EES 4105,Ecotoxicology,,3,University Of New Orleans,PLACEHOLDER,
EES 4110,Introduction to Geophysics,,3,University Of New Orleans,PLACEHOLDER,
EES 4115,Toxicology and Human Health,,3,University Of New Orleans,PLACEHOLDER,
EES 4120,Gravity & Magnetics,,3,University Of New Orleans,PLACEHOLDER,
EES 4125,Toxicology of Metals,,3,University Of New Orleans,PLACEHOLDER,
EES 4150,Geophysical Field Methods,,3,University Of New Orleans,PLACEHOLDER,
EES 4152,Appl Seismic Acquis & Process,,3,University Of New Orleans,PLACEHOLDER,
EES 4160,Seismic Stratigraphy,,3,University Of New Orleans,PLACEHOLDER,
EES 4161,Gulf Coast Geology,,3,University Of New Orleans,PLACEHOLDER,
EES 4165,Geophysical Explore & Interp,,3,University Of New Orleans,PLACEHOLDER,
EES 4520,Estuarine Envir Sci,,3,University Of New Orleans,PLACEHOLDER,
EES 4550,Coastal Geomorphology,,3,University Of New Orleans,PLACEHOLDER,
EES 4560,Env Geol Coastal LA,,3,University Of New Orleans,PLACEHOLDER,
EES 4711,IntroXay Crystallography,,3,University Of New Orleans,PLACEHOLDER,
EES 4720,Global Tectonics,,3,University Of New Orleans,PLACEHOLDER,
EES 4730,Environmental Geochemistry,,3,University Of New Orleans,PLACEHOLDER,
EES 4735,Hydrogeology,,3,University Of New Orleans,PLACEHOLDER,
EES 4750,Principles of Stratigraphy,,3,University Of New Orleans,PLACEHOLDER,
EES 4800,Advanced Stratigraphy,,3,University Of New Orleans,PLACEHOLDER,
EES 4840,Structural Geology,,3,University Of New Orleans,PLACEHOLDER,
EES 4900,Coastal Processes,,3,University Of New Orleans,PLACEHOLDER,
EES 4925,Intro to Physical Oceanography,,3,University Of New Orleans,PLACEHOLDER,
EES 4949,Natural Resource Mgt,,3,University Of New Orleans,PLACEHOLDER,
EES 5000,Statistic Method Earth Env Sci,,3,University Of New Orleans,PLACEHOLDER,
EES 5091,Independent Studies,,3,University Of New Orleans,PLACEHOLDER,
EES 5096,Special Topics,,3,University Of New Orleans,PLACEHOLDER,
EES 5105,Ecotoxicology,,3,University Of New Orleans,PLACEHOLDER,
EES 5110,Introduction to Geophysics,,3,University Of New Orleans,PLACEHOLDER,
EES 5115,Tox and Human Health,,3,University Of New Orleans,PLACEHOLDER,
EES 5120,Gravity & Magnetics,,3,University Of New Orleans,PLACEHOLDER,
EES 5125,Toxicology of Metals,,3,University Of New Orleans,PLACEHOLDER,
EES 5150,Geophysical Field Methods,,3,University Of New Orleans,PLACEHOLDER,
EES 5152,Appl Seismic Acquis & Process,,3,University Of New Orleans,PLACEHOLDER,
EES 5160,Seismic Stratigraphy,,3,University Of New Orleans,PLACEHOLDER,
EES 5161,Gulf Coast Geology,,3,University Of New Orleans,PLACEHOLDER,
EES 5165,Geophysical Explore & Interp,,3,University Of New Orleans,PLACEHOLDER,
EES 5520,Estuarine Envir Sci,,3,University Of New Orleans,PLACEHOLDER,
EES 5550,Coastal Geomorphology,,3,University Of New Orleans,PLACEHOLDER,
EES 5560,Env Geol Coastal LA,,3,University Of New Orleans,PLACEHOLDER,
EES 5711,IntroXay Crystallography,,3,University Of New Orleans,PLACEHOLDER,
EES 5720,Global Tectonics,,3,University Of New Orleans,PLACEHOLDER,
EES 5730,Environmental Geochemistry,,3,University Of New Orleans,PLACEHOLDER,
EES 5735,Hydrogeology,,3,University Of New Orleans,PLACEHOLDER,
EES 5750,Principles of Stratigraphy,,3,University Of New Orleans,PLACEHOLDER,
EES 5800,Advanced Stratigraphy,,3,University Of New Orleans,PLACEHOLDER,
EES 5840,Structural Geology,,3,University Of New Orleans,PLACEHOLDER,
EES 5900,Coastal Processes,,3,University Of New Orleans,PLACEHOLDER,
EES 5925,Intro Phys Oceanogry,,3,University Of New Orleans,PLACEHOLDER,
EES 5949,Natural Resource Mgt,,3,University Of New Orleans,PLACEHOLDER,
EES 6015,Tox Coastal Organism,,3,University Of New Orleans,PLACEHOLDER,
EES 6090,Graduate Seminar,,3,University Of New Orleans,PLACEHOLDER,
EES 6095,M.S. Project in EES,,3,University Of New Orleans,PLACEHOLDER,
EES 6096,Special Topics,,3,University Of New Orleans,PLACEHOLDER,
EES 6096,Special Topics,,3,University Of New Orleans,PLACEHOLDER,
EES 6097,Independent Study,,3,University Of New Orleans,PLACEHOLDER,
EES 6265,Surf Process & Environ Dynam,,3,University Of New Orleans,PLACEHOLDER,
EES 6640,Sequence Strat,,3,University Of New Orleans,PLACEHOLDER,
EES 6658,Low Temperature Geochemistry,,3,University Of New Orleans,PLACEHOLDER,
EES 6760,Coastal Restoration & Managmnt,,3,University Of New Orleans,PLACEHOLDER,
EES 6762,Aquatic Sciences,,3,University Of New Orleans,PLACEHOLDER,
EES 6770,Basin Analysis,,3,University Of New Orleans,PLACEHOLDER,
EES 6810,Geophysical Data Processing,,3,University Of New Orleans,PLACEHOLDER,
EES 6840,Reflection Seismology,,3,University Of New Orleans,PLACEHOLDER,
EES 7000,Thesis Research,,3,University Of New Orleans,PLACEHOLDER,
EES 7040,Examination or Report Only,,3,University Of New Orleans,PLACEHOLDER,
EES 7050,Dissertation Research,,3,University Of New Orleans,PLACEHOLDER,
ECON 1203,Principles of Microeconomics,,3,University Of New Orleans,PLACEHOLDER,
ECON 1204,Principles of Macroeconomics,,3,University Of New Orleans,PLACEHOLDER,
ECON 1330,Financial Literacy,,3,University Of New Orleans,PLACEHOLDER,
ECON 2000,Engineering Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 2221,Money & Banking,,3,University Of New Orleans,PLACEHOLDER,
ECON 3000,Managerial Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 3292,Internship Busines & Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 3999,Special Topics in Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 4250,Health Care Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 4261,International Trade Theory,,3,University Of New Orleans,PLACEHOLDER,
ECON 4291,UGRD Directed Individual Study,,3,University Of New Orleans,PLACEHOLDER,
ECON 4306,International Finance,,3,University Of New Orleans,PLACEHOLDER,
ECON 4400,Econ Foundation for Managers,,3,University Of New Orleans,PLACEHOLDER,
ECON 5261,International Trade Theory,,3,University Of New Orleans,PLACEHOLDER,
ECON 5306,International Finance,,3,University Of New Orleans,PLACEHOLDER,
ECON 6200,Managerial Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 6203,Microeconomic Theory,,3,University Of New Orleans,PLACEHOLDER,
ECON 6204,Macroeconomic Theory,,3,University Of New Orleans,PLACEHOLDER,
ECON 6207,Seminar in Microeconomics,,3,University Of New Orleans,PLACEHOLDER,
ECON 6250,Health Care Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 6292,Directed Individual Study,,3,University Of New Orleans,PLACEHOLDER,
ECON 6294,Internship in Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 6295,Special Topic Economics,,3,University Of New Orleans,PLACEHOLDER,
ECON 7040,Examination or Report Only,,3,University Of New Orleans,PLACEHOLDER,
ECON 7050,Dissertation Research,,3,University Of New Orleans,PLACEHOLDER,
ECON 7051,Dissertation Workshop,,3,University Of New Orleans,PLACEHOLDER,
COED 1,Coop Educ for Educ Majors,,3,University Of New Orleans,PLACEHOLDER,
EDUC 1001,Peervice Teaching,,3,University Of New Orleans,PLACEHOLDER,
EDUC 1010,Intro to Teaching,,3,University Of New Orleans,PLACEHOLDER,
EDUC 2100,Child & Adolescent Development,,3,University Of New Orleans,PLACEHOLDER,
EDUC 2200,Principles Teaching Learning,,3,University Of New Orleans,PLACEHOLDER,
EDUC 2204,Intro Secondary Ed,,3,University Of New Orleans,PLACEHOLDER,
EDUC 2206,Intro to Tech in the Classroom,,3,University Of New Orleans,PLACEHOLDER,
EDUC 3000,Mt Needs of All Learners II,,3,University Of New Orleans,PLACEHOLDER,
EDUC 3001,Tier III Assess ECE,,3,University Of New Orleans,PLACEHOLDER,
