code,title,description,credits,institution,department,prerequisites,has_lab,course_type
FNAR 121,Introduction to Visual Arts,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FNAR 125,ART HISTORY SURVEY I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FNAR 126,ART HISTORY SURVEY II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FNAR 127,CONTEMPORARY ART ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FNAR 158,THREE-DIMENSIONAL DESIGN ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
MUSC 105,MUSIC APPRECIATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
MUSC 108,"Pop Music: Legends of Performance, Culture, and Business",,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
MUSC 137,JAZZ APPRECIATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
THEA 101,INTRODUCTION TO THE THEATRE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
THEA 207,CLASSICAL THEATRE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
THEA 209,Modern Theatre,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
ARCH 180,HISTORY AND THEORY OF ARCHITECTURE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FREN 101,ELEMENTARY FRENCH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FREN 102,ELEMENTARY FRENCH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FREN 125,FRENCH CULTURE AROUND THE WORLD ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FREN 201,INTERMEDIATE FRENCH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FREN 202,INTERMEDIATE FRENCH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
FREN 225,PERSPECTIVES ON CONTEMPORARY FRENCH CULTURE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 101,EARLY WESTERN CIVILIZATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 102,MODERN WESTERN CIVILIZATION ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 103,WORLD HISTORY I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 105,WORLD HISTORY II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 141,AFRICAN-AMERICAN HISTORY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 205,AMERICAN HISTORY TO 1865 ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 206,AMERICAN HISTORY AFTER 1865 ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 240,SPECIAL TOPICS IN HISTORY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 241,SPECIAL TOPICS IN HISTORY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 242,American Womens History,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HIST 260,LOUISIANA HISTORY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HUMA 105,HUMANITIES THROUGH THE ARTS ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HUMA 150,STRUCTURE OF WESTERN THOUGHT: ANCIENT GREECE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HUMA 211,Humanities I,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HUMA 212,Humanities II,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HUMA 220,MODERNISM IN THE ARTS ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
HUMA 260,ACTIVISM AND CHANGE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PHIL 101,INTRODUCTION TO PHILOSOPHY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PHIL 175,SOCIAL ETHICS ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SPAN 101,ELEMENTARY SPANISH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SPAN 102,ELEMENTARY SPANISH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SPAN 201,INTERMEDIATE SPANISH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SPAN 202,INTERMEDIATE SPANISH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
