ccn,ccn_title,BPCC,BRCC,CLTCC,DCC,FTCC,LDCC,NCC,NTCC,RPCC,SLCC,STCC,LSU_AM,LSUA,LSUE,LSUS,GSU,LA_TECH,MCNEESE,NICHOLLS,NSU,SLU,ULL,ULM,UNO,SU_AM,SUNO,SUSLA
CENL 2163,American Literature II,GHUM 3,GHUM 3,CLTR 3,ENGL 212,GHUM 3,ENGL 204,GHUM 3,GHUM 3,ENGL 2620,ENGL 2040,ENGL 2120,ENGL 2270 or 2123,GHUM 3,ENGL 2072 or 2073,GHUM 3,ENGL 204,ENGL 212,GHUM 3,ENGL 215,GHUM 3,ENGL 232,ENGL 206,ENGL 2006,ENGL 2032,,ENGL 352N,SENL 216S
CENL 2173,Major American Writers,ENGL 202,ENGL 2173,ENGL 2210,GHUM 3,ENGL 2210,ENGL 250,ENGL 2210,GHUM 3,ENGL 2630,ENGL 2035,ENGL 2130,ENGL 2270,GHUM 3,GHUM 3,ENGL 210,GHUM 3,ENGL 212,ENGL ***,ENGL 215,GHUM 3,ENGL 232,ENGL 211,GHUM 3,ENGL 2041,GENL 3,SENL 217N,SENL 216S
CENL 2203,World Literature I,GHUM 3,GHUM 3,ENGL 2600,ENGL 231,GHUM 3,ENGL 205,ENGL 2600,ENGL 2030,ENGL 2410,ENGL 2170,ENGL 2310,ENGL 2201,GHUM 3,GHUM 3,GHUM 3,ENGL 200,GHUM 3,GHUM 3,ENGL 215,GHUM 3,ENGL 230,ENGL 321,ENGL 2003,ENGL 2371,SENL 220B,ENGL 270N,SENL 220S
CENL 2213,World Literature II,GHUM 3,GHUM 3,ENGL 2610,ENGL 232,GHUM 3,ENGL 206,ENGL 2610,GHUM 3,ENGL 2420,ENGL 2180,ENGL 2320,ENGL 2202,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,ENGL 215,GHUM 3,ENGL 230,ENGL 322,ENGL 2004,GHUM 3,GENL 3,GHUM 3,SENL 220S
CENL 2223,Major World Writers,ENGL 251,ENGL 2223,CLTR 3,GHUM 3,GHUM 3,ENGL 250,GHUM 3,GHUM 3,ENGL 2430,ENGL 2175,ENGL 2330,ENGL 2201 or 2202,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,ENGL ***,ENGL 215,ENGL 2070,ENGL 230,ENGL 211,GHUM 3,GHUM 3,GENL 3,ENGL270N,SENL 220S
CENL 2303,Intro to Fiction,ENGL 255,ENGL 2303,CLTR 3,ENGL 205,ENGL 2110,ENGL 211,GHUM 3,GHUM 3,ENGL 2110,ENGL 2055,ENGL 2410,ENGL 2025,ENGL 2025 or 2031,ENGL 2025,ENGL 215,GHUM 3,GHUM 3,ENGL 203,ENGL 216,GHUM 3,GHUM 3,ENGL 210,GHUM 3,ENGL 2238,ENGL 201,ENGL 363N,SENL 232S
CENL 2313,Intro to Poetry and/or Drama,ENGL 256,ENGL 2313,ENGL 2110,ENGL 206,ENGL 2150,ENGL 215,ENGL 2110,GHUM 3,ENGL 2150,ENGL 2065,ENGL 2430,ENGL 2027 or 2029,ENGL 2027,ENGL 2027,ENGL 220,GHUM 3,GHUM 3,ENGL 204,ENGL 216,GHUM 3,GHUM 3,ENGL 210,GHUM 3,ENGL 2208 or 2228,ENGL 205 or 206,ENGL 362N,SENL 232S
CENL 2323,Intro to Literature,ENGL ***,ENGL 2323,CLTR 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,ENGL 2100,ENGL 2060,ENGL 2420,ENGL 2123,GHUM 3,GHUM 3,GHUM 3,ENGL 201,GHUM 3,ENGL 200,ENGL 215 or 216 or 217,ENGL 2110,GHUM 3,ENGL 211,GHUM 3,GHUM 3,SENL 232B,SENL 232N,SENL 232S
CENL 2403,Intro to African American Literature,ENGL 257,ENGL 2403,CLTR 3,ENGL 244,GHUM 3,ENGL 250,GHUM 3,GHUM 3,ENGL 2700,ENGL 2230,ENGL 2510,ENGL 2674,GHUM 3,ENGL 2674,GHUM 3,GHUM 3,ENGL 212,GHUM 3,ENGL 215,GHUM 3,ENGL 233,ENGL 211,ENGL 2016,ENGL 2071 or 2072,SENL 240B,ENGL 255N or 256N,SENL 240S
CENL 2413,Intro to Women's Literature,ENGL 250,GHUM 3,CLTR 3,GHUM 3,ENGL 2996,ENGL 250,GHUM 3,GHUM 3,ENGL 2800,ENGL 2210,ENGL 2520,ENGL 2593,WMST 2095,GHUM 3,GHUM 3,GHUM 3,GHUM 3,WMST 201,ENGL 215,GHUM 3,GHUM 3,ENGL 211,GHUM 3,ENGL 2378,GENL 3,GHUM 3,GHUM 3
CENL 2503,Mythology or Folklore,ENGL 252,ENGL 2503/HUM N 2103,CLTR 3,GHUM 3,ENGL 2996,ENGL 250,GHUM 3,GHUM 3,ENGL 2900,ENGL 2240,ENGL 2530,ENGL 2423,ENGL 2084,ENGL 2210,GHUM 3,GHUM 3,GHUM 3,ENGL 221,ENGL 216,GHUM 3,ENGL 2***,ENGL 211,GHUM 3,GHUM 3,GENL 3,GHUM 3,GHUM 3
