ccn,ccn_title,BPCC,BRCC,CLTCC,DCC,FTCC,LDCC,NCC,NTCC,RPCC,SLCC,STCC,LSU_AM,LSUA,LSUE,LSUS,GSU,LA_TECH,MCNEESE,NICHOLLS,NSU,SLU,ULL,ULM,UNO,SU_AM,SUNO,SUSLA
CHIS 1123,World Civilization II,HIST 104,HIST 1123,HIST 1510,HIST 105,HIST 1510,GHUM or GSOC 3,HIST 1510,GHUM or GSOC 3,HIST 1005,HIST 1041,HIST 1220,HIST 1007,GHUM or GSOC 3,GSOC 3,GHUM or GSOC 3,HIST 104,HIST 102,HIST 122,HIST 151,HIST 1020,HIST 108,HIST 102,HIST 1012,HIST 1002,SHIS 112B,SHIS 112N,GHUM 3
CHIS 2013,American History I,HIST 201,HIST 2013,HIST 2010,HIST 205,HIST 2010,HIST 201,HIST 2010,HIST 2010,HIST 2010,HIST 2010,HIST 2010,HIST 2055,HIST 2055,HIST 2055,HIST 145,HIST 201,HIST 201,HIST 201,HIST 255,HIST 2010,HIST 201,HIST 221,HIST 2001,HIST 2501,SHIS 224B,SHIS 201N,SHIS 201S
CHIS 2023,American History II,HIST 202,HIST 2023,HIST 2020,HIST 206,HIST 2020,HIST 202,HIST 2020,HIST 2020,HIST 2020,HIST 2020,HIST 2020,HIST 2057,HIST 2057,HIST 2057,HIST 146,HIST 202,HIST 202,HIST 202,HIST 256,HIST 2020,HIST 202,HIST 222,HIST 2002,HIST 2502,SHIS 225B,SHIS 202N,SHIS 202S
CHIS 2033,Louisiana History,HIST 203,HIST 2033,HIST 2100,HIST 260,HIST 2030,HIST 210,HIST 2100,HIST 2100,HIST 2100,HIST 2100,HIST 2100,HIST 3071 or GSOC 3,HIST 3071 or GHUM or GSOC 3,HIST 2071,HIST 271,HIST 322,HIST 360 or ***,GHUM 3,HIST 371 or HIST ***,HIST 3040,HIST 321,HIST 307 or GSOC 3,HIST 3005 or HIST ***,HIST 2601,SHIS 230B,HIST 401N or GHUM 3,SHIS 230S
CHIS 2103,African- American History,HIST ***,HIST 2103,GSOC 3,HIST 141,GHUM 3,HIST 213,GSOC 3,GHUM or GSOC 3,HIST 2061,HIST 2070,GHUM 3,HIST 2061,HIST 2061,HIST 2061,GHUM or GSOC 3,HIST 319,HIST 2***,GHUM 3,GSOC 3,GHUM or GSOC 3,GHUM or GSOC 3,HIST 355,GHUM or GSOC 3,HIST 1010,HIST 311B,HIST 351N,HIST 211S
CHIUM 2213,Humanities I,HMAN 201,HUMN 2213,GHUM 3,HUMA 211,GHUM 3,HUMN 201,CHUM 3,GHUM 3,GHUM 3,CHUM 3,CHUM 3,,CHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,HIST 1010,GHUM 3,HUMN 151,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3
CHIUM 2223,Humanities II,HMAN 202,HUMN 2223,GHUM 3,HUMA 212,GHUM 3,HUMN 202,CHUM 3,GHUM 3,GHUM 3,CHUM 3,CHUM 3,,CHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,HIST 1020,GHUM 3,HUMN 152,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3
CHLT 1103,Medical Terminology,BLGY 110,HLSC 1103,HSOM 1020/1030,HESC 111,HESC 1110,HSCI 110,HSOM 1020/10 30,,HESC 1000,HLSC 2103,MEDL***,KIN 2509,HESC 1010,ALLH ***,KHS 201,CNAT 3,HIM 103,NRHP 100,NURS ***,ALHE ***,NURS 214,HIM ***,AHSC 2000,EDHS 2400,,HIMS 105N,ALLH 210S
CHLT 2103,Intro to Pharmacology,ALHT 115,CHEM ***,NURS 1500,HESC ***,CPHY 3,HSCI ***,NURS 1500,CHEM 2***,HEIT ***,CHEM ***,BIOL ***,PSYC ***,HESC 1115,GNAT 3,BIOS ***,NUR 205,CHEM 2***,NURS ***,AHSC ****,CHEM ***,GBIO ***,***,AHSC 2***,CHEM ***,,BIOL ---,
CHUM 2013,Africa and the Middle East,HMAN ***,HUMN 2013,GHUM 3,CHUM 3,GHUM 3,CHUM 3,CHUM 3,GHUM 3,GHUM 3,CHUM 3,CHUM 3,,CHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,ENGL ***,GHUM 3,HIST 1020,GHUM 3,HUMN 200,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3
CLTN 1013 (3 Hr),Elementary Latin I (3-4 credit hours),LATN ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,LATN 1***,GHUM 3,LATN ***,GHUM 3,LATN 1***,CLAN 3,GHUM,LATN ***,CLAN 3,LATN ***,LATN 101,GHUM 3,LATN 1010,LAT 101,LATN 101,LATN 1001,LAT 1011,LATN ***,GHUM 3,GHUM 3
CLTN 1014 (4 Hr),,LATN ***,GHUM 3,,GHUM 3,GHUM 3,GHUM 3,,LATN 1***,GHUM 4,LATN ***,GHUM 4,LATN 1001,,GHUM,,,LATN ***,LATN 101 & LATN ***,,,,,,,LATN ***,GHUM 3,
CLTN 1023 (3 Hr),Elementary Latin II (3-4 credit hours),LATN ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,LATN 1***,GHUM 3,LATN ***,GHUM 3,LATN 1***,CLAN 3,GHUM,LATN ***,CLAN 3,LATN ***,LATN 102,GHUM 3,LATN 1020,LAT 102,LATN 102,LATN 1002,LAT 1012,LATN ***,GHUM 3,GHUM 3
CLTN 1024 (4 Hr),,LATN ***,GHUM 3,,GHUM 3,GHUM 3,GHUM 3,,LATN 1***,GHUM 4,LATN ***,GHUM 4,LATN 2051,,GHUM,,,LATN ***,LATN 102 & LATN ***,,,,,,,LATN ***,GHUM 3,
CLTN 1026,Elem Latin I+II (6 cr hrs),LATN ***,GHUM 6,CLAN 6,GHUM 6,GHUM 6,GHUM 6,GHUM 6,LATN 1***,GHUM 3,LATN ***,CLAN 6,LATN 1001 & 2051,CLAN 6,GHUM,LATN ***,CLAN 6,LATN ***,LATN 101 & 102,GHUM 6,LATN 1010 & 1020,LAT 101 & 102,,LATN 1005,LAT 1011 & 1012,LATN ***,GHUM 3,GHUM 3
CLTN 2013,Intermediate Latin I,LATN ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,LATN 2***,GHUM 3,LATN ***,GHUM 3,LATN 2053,CLAN 3,GHUM,LATN ***,CLAN 3,LATN ***,LATN 201,GHUM 3,LATN ***,LAT 201,LATN 101 & 102,LATN 2001,LAT 2011,LATN ***,GHUM 3,GHUM 3
CLTN 2023,Intermediate Latin II,LATN ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,LATN 2***,GHUM 3,LATN ***,GHUM 3,LATN 2065/ 2066/73/74,CLAN 3,GHUM,LATN ***,CLAN 3,LATN ***,LATN 202,GHUM 3,LATN ***,LAT 202,LATN 202,LATN 2002,LAT ***,LATN ***,GHUM 3,GHUM 3
CMAT 1103,Contemporary Mathematics,MATH 124,MATH 1103,MATH 1199/1200,MATH 120,MATH 1103 or 1104,MATH 117,MATH 1199/ 1200,GMAT 3,MATH 1300,GMAT 3,MATH 2000,MATH 1029,MATH 1029,GMAT 3,MATH 124,GMAT 3,MATH 130,MATH 105,MATH 116 or 117,MATH 1035,MATH 185,MATH 102,MATH 1018,MATH 1031,,GNAT 3,MATH 136S
CMAT 1203,Applied Algebra,MATH 101,MATH 1203,MATH 1202/1203,MATH 128,CMAT 3,GMAT 3,MATH 1202/ 1203,MATH 1001,GMAT 3,MATH 1100,MATH 1000,GMAT 3,GMAT 3,MATH 1015,GMAT 3,GMAT 3,MATH 102 or 103,GMAT 3,GMAT 3,GMAT 3,MATH 107,MATH 103 or 105,MATH 1009,MATH 1115,,MATH 121N,MATH 133S
CMAT 1204,The Nature of Mathematics,GMAT 3,MATH 1003,GMAT 3,GMAT 3,CMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,,GMAT 3,GMAT 3,Math 1100,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,Math 1035,GMAT 3,GMAT 3,GMAT 3,GMAT 3,,SMAT 151N,GMAT 3
CMAT 1213*,College Algebra,MATH 3 102 or 111,MATH 3 1213,MATH 3 1299/1300,MATH 3 130 or 133,MATH 3 1213 or 1214,MATH 3 110,MATH 3 1299/ 1300,MATH 3 1005 or 1015,MATH 3 1100,MATH 3 1105,MATH 3 1100,MATH 3 1021,MATH 3 1021,MATH 3 1020 or 1021,MATH 3 121,MATH 3 131,MATH 3 100 or 101,MATH 3 113,MATH 3 100 or 101,MATH 3 1020,MATH 3 151,MATH 3 109,MATH 3 1011,MATH 3 1125,SMAT 3 121,MATH 3 121N,SMAT 3 121S
CMAT 1223,Trigonometry,MATH 112,MATH 1223,MATH 1400,MATH 131,MATH 1223,MATH 111,MATH 1400,MATH 1620,MATH 1110,MATH 1110,MATH 1223,MATH 1022,MATH 1022,MATH 1022,MATH 122,MATH 132,MATH 112,MATH 175,MATH 102,MATH 1090,MATH 162,MATH 110,MATH 1012,MATH 1126,SMAT 122,MATH 122N,SMAT 122S
CMAT 1233,Algebra and,,,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,MATH 1105 &/or MATH 1110,,GMAT 5,GMAT 3,GMAT 5,MATH 150,GMAT 3,MATH 240,MATH ---,,,GMAT 3,MATH 143,MATH 1013,GMAT 3,,GMAT 3,GMAT 3
CMAT 1234,,,,GMAT 3,GMAT 4,GMAT 3,GMAT 4,GMAT 3,GMAT 3,GMAT 4,MATH 1105 &/or MATH 1110,,GMAT 5,GMAT 3,GMAT 5,,,,MATH ---,MATH 108,,GMAT 3,,,GMAT 3,,GMAT 3,GMAT 3
CMAT 1235,Trigonometry: 3-6 credit hours,,MATH 1235,GMAT 3,MATH 140,GMAT 3,MATH 120,GMAT 3,MATH 1650,GMAT 5,MATH 1105 &/or MATH 1110,MATH 1235,MATH 1023,MATH 1023,MATH 1023,,,,MATH ---,,,MATH 175,,,GMAT 3,SMAT 123,MATH 163N,GMAT 3
CMAT 1236,,MATH 102 & 112 or MATH 113,MATH 1235,GMAT 3,GMAT 6,GMAT 3,GMAT 6,GMAT 3,GMAT 3,MATH 1100 & 1110,MATH 1105 &/or MATH 1110,,GMAT 5,GMAT 3,GMAT 5,,,,MATH 170 and 175,,MATH 1100 or 1810,GMAT 3,,,GMAT 3,,GNAT 3,GMAT 3
CMAT 1303,Introductory Statistics,MATH 210,MATH 1303,MATH 2000,MATH 203,MATH 2100,MATH 210,MATH 2000,MATH 2410,MATH 2140,MATH 2020,MATH 2100,ISDS 2000,MATH 2011,MATH 1425,MATH 210 or 260,MATH 273,STAT 200,STAT 231,MATH 214,MATH 2050,MATH 241,STAT 214,MATH 1016,MATH 2314/ 2785,SMAT 130,SMAT 130N,SMAT 130S
CMAT 1313,Finite Mathematics,MATH 114,MATH 1313,MATH 1700,MATH 151,GMAT 3,MATH 200,MATH 1700,MATH 1500,MATH 1500,MATH 2040,MATH 1313,GMAT 3,MATH 1313,GMAT 3,MATH 128,GMAT 3,MATH 125,MATH 130,GMAT 3,MATH 1060,MATH 105,GMAT 3,GMAT 3,GMAT 3,,SMAT 131N,SMAT 131S
CMAT 1413,Math for Elem Tchrs,MATH 117,MATH 1673,MATH 1600,MATH 123,MATH 1413,MATH 203,MATH 1600,GMAT 3,MATH 1167,MATH 1107,GMAT 3,GMAT 3,MATH 1201,MATH 1018,MATH 127,MATH 137,MATH 203,MATH ***,MATH 110,MATH 2030,MATH 247,MATH 117,MATH 2050,MATH 1021,,GMAT 3,GMAT 3
CMAT 1423,Geometry for Elem Tchrs,MATH 217,MATH 1683,MATH 1630,MATH 124,MATH 1423,MATH 168,MATH 1630,GMAT 3,MATH 1168,MATH 2007,GMAT 3,GMAT 3,MATH 1202,MATH 1019,MATH 217,MATH 307,MATH 204,MATH ***,MATH 210,MATH 2040,MATH 248,MATH 217,MATH 3050,MATH 1023,,GMAT 3,GMAT 3
CMAT 2103,Applied Calculus,,MATH 2103,GMAT 3,MATH 220,MATH 2010,GMAT 3,GMAT 3,MATH 1630,MATH 2010,MATH 2010,MATH 2103,MATH 1431,MATH 1431,MATH 1431,MATH 131,GMAT 3,MATH 222,MATH ***,GMAT 3,MATH 2010,MATH 163,MATH 250,MATH 1014,GMAT 3,,GMAT 3,GMAT 3
CMAT 2113 (3 Hr),Calculus I : 3-6 credit hours,,,,GMAT 3,GMAT 3,GMAT 3,,GMAT 3,GMAT 3,MATH 2210,MATH 2113,GMAT (3-5),MATH 1540,GMAT 5,,MATH 153,MATH 241,MATH 1***,MATH 1***,Math 2100,GMAT 3,GMAT 3,GMAT 3,GMAT 3,,GMAT (3-6),GMAT 3
CMAT 2114 (4 Hr),,,,,GMAT 3,GMAT 3,GMAT 3,,GMAT 3,GMAT 4,MATH 2210,,GMAT (3-5),MATH 1550,GMAT 5,MATH 221,,,MATH 190,,,GMAT 3,MATH 270,MATH 1031,MATH 2114,SMAT 211,MATH 290N+ 290LN,GMAT 4
CMAT 2115 (5 Hr),,MATH 250,MATH 2115,MATH 2010,MATH 221,MATH 2115,MATH 220,MATH 2010,MATH 2000,MATH 2100,MATH 2210,,MATH 1550,,MATH 1550,,,,MATH ---,MATH 165,MATH 2100,MATH 200,,,---,,GMAT 3,SMAT 211S
CMAT 2116 (6 Hr),,,MATH 2115,,GMAT 3,GMAT 3,GMAT 3,,GMAT 3,GMAT 6,MATH 2210,,MATH 1530 & 1540,,GMAT 5,GMAT 3,,MATH 242,MATH ***,MATH 1***,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,,GMAT 3,GMAT 6
CMAT 2123 (3 Hr),Calculus II : 3-5 credit hours,,,,,GMAT 3,GMAT 3,,GMAT 3,GMAT 3,MATH 2211,MATH 2123,GMAT 4,,GMAT 4,,MATH 154,GMAT 3,MATH ---,,,GMAT 3,,,,,GMAT 3,GMAT 3
CMAT 2125 (5 Hr),,,MATH 2125,MATH 2100,MATH 222,GMAT 3,MATH 221,MATH 2100,GMAT 3,MATH 2110,MATH 2211,,GMAT 4,,GMAT 4,,,,MATH ---,,MATH 2110,MATH 201,,,---,,GMAT 3,GMAT 3
CMAT 2133,Calculus III,MATH 252,MATH 2134,GMAT 3,MATH 223,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,GMAT 3,MATH 2057,MATH 223,MATH 201,MATH 2***,MATH ***,MATH ***,GMAT 3,GMAT 3,MATH 302,MATH 2***,MATH 2134,,MATH 292N,GMAT 4
CMGM 2103,Principles of Management (Lower Level),BADM 212,MANG 2103,BUSN 2100,MANG 201,BUSN 2100,BUSN 210,BUSN 2100,BUSN 2***,MGMT 2010,GBUS 2010,BUSI 2310,MGT ***,MGMT ***,MGMT 2999,MADM ***,MAN ***,MGMT ***,MGMT ***,MNGT ***,MGT ***,MGMT 2***,MGMT 230,MGMT ***,MANG ***,BUSP** *,BADM ***,MGMT 201S
CMGM 2213,Human Resource Mgt (Lower Level),BADM 213,MANG 2213,BUSN 2150,MANG 131,BUSN 2120,BUSN 131,BUSN 2150,BUSN 2***,BUSN 1310,GBUS 2065,BUSI 2080,MGT ***,MGMT ***,MGMT 2260,MADM ***,MAN ***,MGMT ***,MGMT ***,MNGT ***,MGT ****,MGMT 2***,MGMT ***,MGMT ***,MANG ***,BUSP** *,BADM ***,
CMGM 2313,Small Business Mgt (Lower Level),HCM 250,MANG 2313,BUSN 1510,MANG 222,BUSN ***,BUSN 190,BUSN 1510,BUSN 2***,BUSN 2220,GBUS ***,BUSI ***,ENTR ***,MGMT ***,BADM 2050,MADM 205,MAN ***,MGMT ***,MGMT ***,MNGT ***,BUAD ***,MGMT 2***,MGMT ***,MGMT ***,BA ***,BUSP** *,ENTR 240N,
CMGM 2413,Intro to Entrepreneurshi p (Lower Level),BADM 216,MANG 2413,BUSN 1500,MANG ***,BUSN 2140,BUSN ***,BUSN 1500,,BUSN ***,GBUS 2080,BUSI ***,ENTR 2000,MGMT ***,MGMT ***,MADM ***,MAN ***,MGMT ***,ENTR ***,MNGT ***,BUAD ***,MGMT 2***,MGMT ***,ENTR 2050,BA 1001,BUSP** *,ENTR 101N,MGMT 240S
CMGM 3013,Management Information Systems,BADM ***,MANG ***,CMGM 3,MANG ***,MANG ***,BUSN ***,BUSN ***,,MGMT ***,GBUS ***,BUSI ***,ISDS ***,MGMT ***,MGMT ***,ISDS 350,MAN ***,CIS 310,BADM 374,CIS ***,CIS 3100,OMIS 350,MGMT ***,CINS 3050,MANG 3778,MGMT 305B,CISP 250N,
CMGM 3103,Principles of Management (Upper Level),BADM ***,MANG ***,CMGM 3,MANG ***,BUSN ***,BUSN ***,BUSN ***,,MGMT ***,GBUS ***,BUSI ***,MGT 3200,MGMT 3200,MGMT ***,MADM 301,MAN 301,MGMT 310,MGMT 300,MNGT 301,MGT 3220,MGMT 351,MGMT 320,MGMT 3001,MANG 3401,MGMT 300B,MGMT 362N,
CMGM 3213,Production & Operations (Upper Level),BADM ***,MANG ***,CMGM 3,MANG ***,BUSN ***,BUSN ***,BUSN ***,,MGMT ***,GBUS ***,BUSI ***,ISDS 3115,MGMT 3215,MGMT ***,ISDS 383,MAN 312,MGMT 333,MGMT 370,MNGT 368,MGT 3580,OMIS 430,MGMT ***,MGMT 3009,MANG 3402,MGMT 310B,BADM 366N,
CMGM 3313,Human Resource Mgt (Upper Level),BADM ***,MANG ***,CMGM 3,MANG ***,BUSN ***,BUSN ***,BUSN ***,,MGMT ***,GBUS ***,BUSI ***,MGT 3320,MGMT 3320,MGMT ***,MADM 320,MAN 310,MGMT 470,MGMT 310,MNGT 367,MGT 4270,MGMT 471,MGMT 365,MGMT 3007,MANG 3467,MGMT 320B,MGMT 364N,
CMGM 3413,Small Business Mgt (Upper Level),BADM ***,MANG ***,CMGM 3,MANG ***,BUSN ****,BUSN ***,BUSN ****,,BUSN ***,GBUS ***,BUSI ***,ENTR 4113,MGMT 4113,BADM ****,MADM ***,MAN 350,MGMT 340,MGMT ***,MNGT 410,BUAD ***,MGMT 375,MGMT ***,MGMT 3***,BA ***,,BADM ***,
CMGM 3513,Intro to Entrepreneurshi p (Upper Level),BADM ***,MANG ***,CMGM 3,MANG ***,BUSN ***,BUSN ***,BUSN ***,,BUSN ***,GBUS ***,BUSI ***,ENTR 3111,MGMT 3001,MGMT ***,MADM 410,MAN 385,MGMT 340,ENTR 304,MNGT 305,BUAD 4190,MGMT 485,MGMT ***,ENTR ***,BA 4056,MGMT 470B,ENTR ***,
CMGM 4103,Organizational Behavior (Upper Level),BADM ***,MANG ***,CMGM 3,MANG ***,BUSN ***,BUSN ***,BUSN ***,,BUSN ***,GBUS ***,BUSI ***,MGT 3620,MGMT 4620,MGMT ***,MADM 321,MAN 305,MGMT ***,MGMT 330,MNGT 470,MGT 3220,MGMT 473,MGMT 350,MGMT 3005,MANG 4487,MGMT 420B & FCSC 476,BADM ***,
CMGM 4213,Management in a Global Context (Upper Level),BADM ***,MANG ***,CMGM 3,MANG ***,BUSN ***,BUSN ***,BUSN ***,,BUSN ***,GBUS ***,BUSI ***,MGT 4430,MGMT 4420,MGMT ***,MADM 360,MAN 410,MGMT 485,BADM ***,MNGT 420,MGT 4350,MGMT 425,MGMT 425,MGMT 4002,MANG 4446,MGMT 480B,BADM ***,
CMKT 2003,Foundations of Marketing (Lower Level),BADM 214,BUSN 2003,BUSN 2000,MARK 201,BUSN 2230,BUSN 201,BUSN 2000,BUSN 2***,BUSN 2000,GBUS 2020,BUSI 2320,MKT ***,MKTG ***,MKTG 2999,MKT ***,MKT ***,MKTG ***,MKTG ***,BSAD ***,MKTG ***,MRKT 123,MKTG 260,MRKT ***,MKT ***,BUSP** *,BADM ***,MGMT 250S
CMKT 3003,Princples of Marketing (Upper Level),BADM ***,BUSN ***,CMKT 3,MARK ***,BUSN ***,BUSN ***,BUSN ***,,BUSN ***,GBUS ***,BUSI ***,MKT 3401,MKTG 3401,MKTG ***,MKT 301,MKT 301,MKTG 300,MKTG 320,MKTG 300,MKTG 3230,MRKT 303,MKTG 345,MRKT 3001,MKT 3501,MKTG 300B,MKTG 370N,
CMKT 3103,Retail Management,BADM ***,BUSN ***,CMKT 3,MARK ***,BUSN ***,BUSN ***,BUSN ***,,BUSN ***,GBUS ***,BUSI ***,MKT 3431,MKTG ***,MKTG ***,MKT 430,MKT 303,MKTG 435,MKTG 351,MKTG 350,MKTG 4350,MRKT 331,MKTG 350,MRKT 3007,MKT 3552,MKTG 330B,MKTG 374N,
CMKT 3203,Personal/Profes sional Selling (Upper Level),BADM ***,BUSN ***,CMKT 3,MARK ***,BUSN ***,BUSN ***,BUSN ***,,BUSN ***,GBUS ***,BUSI ***,MKT 3427,MKTG ***,MKTG ***,MKT 330,MKT 309,MKTG 307,MKTG 380,MKTG 320,MKTG 4200,MRKT 321,MKTG ***,MRKT 3005,MKT 3515,MKTG 335B,MKTG 376N,
CMUS 1013,Music Appreciation,MUSC 120,MUSC 1013,MUSC 1013,MUSC 105,MUSC 1010,MUSC 101,MUSC 1013,MUSC 1010,MUSC 1010,MUSC 1010,GFAR 3,MUS 1751,MUSI 1751,MUS 1751,MUS 120,MUS 219,MUGN 290,MUSC 215,MUS 105,FA 1040,MUS 151,MUS 105,MUSC 1091,MUS 1000,MUSC 200 B,MUSC 101N,MUSC 200S
CMUS 1023,Jazz Appreciation,MUSC 121,MUSC 1023,GFAR 3,MUSC 137,MUSC 2020,GFAR 3,GFAR 3,GFAR 3,GFAR 3,MUSC 2300,GFAR 3,MUS 1751,GFAR 3,GFAR 3,GFAR 3,GFAR 3,MUGN ***,GFAR 3,MUS 319,FA 1040,MUS 251,MUS 108,MUSC 1092,MUS 1003,CMUS,GFAR 3,GFAR 3
CPHL 1013,Intro to Philosophy,PHIL ***,PHIL 1013,PHIL 1100,PHIL 101,PHIL 2030,PHIL 201,PHIL 1100,GHUM 3,PHIL 2010,PHIL ***,PHIL 1013,PHIL 1000,PHIL 1000,PHIL 1000,PHIL 105,PHIL 201,PHIL 201,PHIL 201,PHIL 203,PHIL 1010,GHUM 3,PHIL 101,GHUM 3,PHIL 1000,PHIL 200B,PHIL 211N,GHUM 3
CPHL 2013,Intro to Ethics,PHIL ***,PHIL 2013,PHIL 2200,PHIL 175,GHUM 3,GHUM 3,PHIL 2200,GHUM 3,PHIL 2050,PHIL ***,GHUM 3,PHIL 2020,PHIL 2020,GHUM 3,PHIL 250,GHUM 3,PHIL 205,GHUM 3,HUMA 120,PHIL 2020,GHUM 3,PHIL 111,GHUM 3,PHIL 2201,PHIL 220B,PHIL 222N,GHUM 3
CPHL 2113,Intro to Logic,PHIL ***,PHIL 2113,GHUM 3,PHIL 112,GANR 3,GANR 3,GANR 3,GANR 3,PHIL 2030,PHIL ***,GANR 3,PHIL 1021,PHIL 1021,PHIL 1021,PHIL 206,GHUM 3,PHIL ***,PHIL 102,PHIL ***,PHIL 2030,PHIL 201,PHIL 202,GHUM 3,PHIL 1101,PHIL 210B,PHIL 212N,GHUM 3
CPHY 1013,Intro to Concepts in Physics,PHSC 105,PHYS 1013,PHYS 1010,PHYS 101,GNAT 3,GNAT 3,PHYS 1010,PHYS 1010,GNAT 3,PHYS 1010,GNAT 3,PHYS 2401,PHYS 1001,PHYS 1001,GNAT 3,GNAT 3,PHYS 205,GNAT 3,GNAT 3,GNAT 3,PHSC 101,PHYS 213,GNAT 3,PHYS 1001 or 1002,PHYS ***,PHYS 103,GNAT 3
CPHY 1023,Physical Science I,SCI 101,PHSC 1023,PHSC 1000,SCIE 101,PHSC 1000,PHSC 100,PHSC 1000,GNAT 3,PHSC 1010,PHSC 1000,PHSC 1000,PHSC 1001,PHSC 1001,PHSC 1001,PHSC 105,SCI 105,PHYS 205,PHSC 101,PHSC 101,SCI 1010,PHSC 101,PHYS 213,PHYS 1001,SCI 1000NE,SPHY 102B,PHYS 102N,SPHY 102S
CPHY 1033,Physical Science II,SCI 102,PHSC 1033,PHSC 1200,SCIE 102,PHSY 1200,PHSC 120,PHSC 1200,GNAT 3,PHSC 1020,PHSC 1200,PHSC 1200,PHSC 1002,PHSC 1002,PHSC 1002,PHSC 106,SCI 106,PHYS 206,GNAT 3,PHSC 102 or 103,SCI 2010,PHSC 102,GNAT 3,PHYS 1002,SCI 1000NE,SPHY 103B,SPHY 103N,SPHY 103S
CPHY 2111,Physics I Lab (Algebra / Trigonometry Based),PHYS 201L,PHYS 2111,PHYS 1110,PHYS 143,PHYS 2111,PHYS 211,PHYS 1110,GNAT 3,PHYS 2010L,PHYS 2071,PHYS 2110,PHYS 2108,PHYS 2108,PHYS 2108,PHYS 251L,PHYS 111,PHYS 261,PHYS 205,PHYS 203,PHYS 2031,PLAB 193,PHYS 215,PHYS 2009,PHYS 1033,,GNAT 1,GNAT 1
CPHY 2113,Physics I (Algebra / Trigonometry Based),PHYS 201,PHYS 2113,PHYS 1100,PHYS 141,PHYS 2113,PHYS 210,PHYS 1100,GNAT 3,PHYS 2010,PHYS 2070,PHYS 2100,PHYS 2001,PHYS 2001,PHYS 2001,PHYS 251,PHYS 109,PHYS 209,PHYS 201,PHYS 101,PHYS 2030,PHYS 191,PHYS 207,PHYS 2003,PHYS 1031,,GNAT 3,GNAT 3
CPHY 2114,Physics I (Algebra/Trig Based) Lec + lab,PHYS 201 & 201L,PHYS 2113 & 2111,PHYS 1100 & 1110,PHYS 141 & 143,GNAT 3,PHYS 210 & 211,PHYS 1100 & 1110,GNAT 3,PHYS 2010 & 2010L,PHYS 2070 & 2071,PHYS 2100 & 2110,PHYS 2001 & 2108,PHYS 2001 & 2108,PHYS 2001 & 2108,PHYS 251 & 251L,PHYS 109 & 111,PHYS 209 & 261,PHYS 201 & 205,PHYS 101 & 203,PHYS 2030 & 2031,PHYS 191 & PLAB 193,PHYS 207 & 215,PHYS 2003 & 2009,PHYS 1031 & 1033,SPHY 211B,GNAT 4,GNAT 4
CPHY 2121,Physics II Lab (Algebra / Trigonometry Based),PHYS 202L,PHYS 2121,PHYS 1210,PHYS 144,CPHY 1,PHYS 221,PHYS 1210,GNAT 3,PHYS 2020L,PHYS 2081,PHYS 2210,PHYS 2109,PHYS 2109,PHYS 2109,PHYS 252L,PHYS 112,PHYS 262,PHYS 206,PHYS 204,PHYS 2041,PLAB 194,PHYS 216,PHYS 2010,PHYS 1034,,GNAT 1,GNAT 1
CPHY 2123,Physics II (Algebra / Trigonometry Based),PHYS 202,PHYS 2123,PHYS 1200,PHYS 142,GNAT 3,PHYS 220,PHYS 1200,GNAT 3,PHYS 2020,PHYS 2080,PHYS 2200,PHYS 2002,PHYS 2002,PHYS 2002,PHYS 252,PHYS 110,PHYS 210,PHYS 202,PHYS 102,PHYS 2040,PHYS 192,PHYS 208,PHYC 2004,PHYS 1032,,GNAT 3,GNAT 3
CPHY 2124,Physics II (Algebra/Trig Based) Lec + Lab,PHYS 202 & 202L,PHYS 2123 & 2121,PHYS 1200 & 1210,PHYS 142 & 144,GNAT 3,PHYS 220 & 221,PHYS 1200 & 1210,GNAT 3,PHYS 2020 & 2020L,PHYS 2080 & 2081,PHYS 2200 & 2210,PHYS 2002 & 2109,PHYS 2002 & 2109,PHYS 2002 & 2109,PHYS 252 & 252L,PHYS 110 & 112,PHYS 210 & 262,PHYS 202 & 206,PHYS 102 & 204,PHYS 2040 & 2041,PHYS 192 & PLAB 194,PHYS 208 & 216,PHYC 2004 & 2010,PHYS 1032 & 1034,SPHY 212B,GNAT 4,GNAT 4
