program_name,requirement_category,constraint_type,description,min_credits,max_credits,min_level,min_courses,max_courses,tag,tag_value,scope_subject_codes
Biology B.S,English,min_level_credits,At least 6 Credits,6,,,,,,,
Biology B.S,Mathematics,min_level_credits,At least 6 Credits,6,,,,,,,
Biology B.S,Science,min_level_credits,At least 9 Credits,9,,,,,,,
Biology B.S,Humanities,min_level_credits,At least 9 Credits,9,,,,,,,
Biology B.S,Other Major Requirements,min_level_credits,At least 11 Credits,11,,,,,,,
Biology B.S,Physics,min_level_credits,At least 8 Credits,8,,,,,,,
Biology B.S,Social Sciences,min_level_credits,At least 6 Credits,6,,,,,,,
Biology B.S,Arts,min_level_credits,At least 3 Credits,3,,,,,,,
Biology B.S,Core Major Requirements,,,,,,,,,,
